BlkNumber;BlkRoute;BlkVehType;TrpNumber;TrpType;TrpRoute;TrpVia;TrpDirection;TrpStartPlace;TrpEndPlace;TrpStartTime;TrpEndTime;TrpDistance;TrpDuration;TrpEndLay;TrpExtraLay
01-janv;T3;;4683;REG;T3;1;DIR1;CASPOR;HANT_a;05:30:00;06:14:54;13.470;00:44:54;00:00:00;00:00:00
02-janv;T3;;4712;REG;T3;1;DIR1;CASPOR;CIDJ_a;05:45:00;06:16:20;9.007;00:31:20;00:00:00;00:00:00
03-janv;T3;;6059;REG;T3;1;DIR1;CASPOR;HANT_a;06:00:00;06:44:54;13.470;00:44:54;00:00:00;00:00:00
04-janv;T3;;6107;REG;T3;1;DIR1;CASPOR;CIDJ_a;06:15:00;06:46:20;9.007;00:31:20;00:00:00;00:00:00
05-janv;T3;;6060;REG;T3;1;DIR1;CASPOR;HANT_a;06:30:00;07:14:54;13.470;00:44:54;00:00:00;00:00:00
06-janv;T3;;6108;REG;T3;1;DIR1;CASPOR;CIDJ_a;06:42:00;07:13:20;9.007;00:31:20;00:00:00;00:00:00
07-janv;T3;;6061;REG;T3;1;DIR1;CASPOR;HANT_a;06:54:00;07:38:54;13.470;00:44:54;00:00:00;00:00:00
07-janv;T3;;6225;REG;T3;2;DIR2;CIDJ_d;CASPOR;15:53:31;16:24:54;9.007;00:31:23;00:00:00;00:00:00
08-janv;T3;;6226;REG;T3;2;DIR2;CIDJ_d;CASPOR;16:09:31;16:40:54;9.007;00:31:23;00:00:00;00:00:00
09-févr;T3;;6229;REG;T3;2;DIR2;CIDJ_d;CASPOR;16:57:31;17:28:54;9.007;00:31:23;00:00:00;00:00:00
10-févr;T3;;6230;REG;T3;2;DIR2;CIDJ_d;CASPOR;17:13:31;17:44:54;9.007;00:31:23;00:00:00;00:00:00
01-févr;T3;;6233;REG;T3;2;DIR2;CIDJ_d;CASPOR;18:01:31;18:32:54;9.007;00:31:23;00:00:00;00:00:00
11-janv;T3;;6234;REG;T3;2;DIR2;CIDJ_d;CASPOR;18:17:31;18:48:54;9.007;00:31:23;00:00:00;00:00:00
07-janv;T3;;6237;REG;T3;2;DIR2;CIDJ_d;CASPOR;19:05:31;19:36:54;9.007;00:31:23;00:00:00;00:00:00
04-janv;T3;;6238;REG;T3;2;DIR2;CIDJ_d;CASPOR;19:25:31;19:56:54;9.007;00:31:23;00:00:00;00:00:00
04-janv;T3;;7333;REG;T3;2;DIR2;HANT_d;CASPOR;21:00:00;21:44:54;13.470;00:44:54;00:00:00;00:00:00
09-févr;T3;;7340;REG;T3;2;DIR2;CIDJ_d;CASPOR;21:49:31;22:20:54;9.007;00:31:23;00:00:00;00:00:00
07-janv;T3;;7332;REG;T3;2;DIR2;HANT_d;CASPOR;20:36:00;21:20:54;13.470;00:44:54;00:00:00;00:00:00
11-janv;T3;;7339;REG;T3;2;DIR2;CIDJ_d;CASPOR;21:25:31;21:56:54;9.007;00:31:23;00:00:00;00:00:00
06-janv;T3;;6116;REG;T3;1;DIR1;CASPOR;CIDJ_a;09:54:00;10:25:20;9.007;00:31:20;00:00:00;00:00:00
07-janv;T3;;6070;REG;T3;1;DIR1;CASPOR;HANT_a;10:06:00;10:50:54;13.470;00:44:54;00:00:00;00:00:00
12-janv;T3;;6117;REG;T3;1;DIR1;CASPOR;CIDJ_a;10:18:00;10:49:20;9.007;00:31:20;00:00:00;00:00:00
08-janv;T3;;6071;REG;T3;1;DIR1;CASPOR;HANT_a;10:30:00;11:14:54;13.470;00:44:54;00:00:00;00:00:00
04-janv;T3;;6118;REG;T3;1;DIR1;CASPOR;CIDJ_a;10:42:00;11:13:20;9.007;00:31:20;00:00:00;00:00:00
03-janv;T3;;6072;REG;T3;1;DIR1;CASPOR;HANT_a;10:54:00;11:38:54;13.470;00:44:54;00:00:00;00:00:00
11-janv;T3;;6119;REG;T3;1;DIR1;CASPOR;CIDJ_a;11:06:00;11:37:20;9.007;00:31:20;00:00:00;00:00:00
06-janv;T3;;6073;REG;T3;1;DIR1;CASPOR;HANT_a;11:18:00;12:02:54;13.470;00:44:54;00:00:00;00:00:00
02-janv;T3;;6120;REG;T3;1;DIR1;CASPOR;CIDJ_a;11:30:00;12:01:20;9.007;00:31:20;00:00:00;00:00:00
12-janv;T3;;6074;REG;T3;1;DIR1;CASPOR;HANT_a;11:42:00;12:26:54;13.470;00:44:54;00:00:00;00:00:00
07-janv;T3;;6121;REG;T3;1;DIR1;CASPOR;CIDJ_a;11:54:00;12:25:20;9.007;00:31:20;00:00:00;00:00:00
04-janv;T3;;6075;REG;T3;1;DIR1;CASPOR;HANT_a;12:06:00;12:50:54;13.470;00:44:54;00:00:00;00:00:00
08-janv;T3;;6122;REG;T3;1;DIR1;CASPOR;CIDJ_a;12:18:00;12:49:20;9.007;00:31:20;00:00:00;00:00:00
11-janv;T3;;6076;REG;T3;1;DIR1;CASPOR;HANT_a;12:30:00;13:14:54;13.470;00:44:54;00:00:00;00:00:00
03-janv;T3;;6123;REG;T3;1;DIR1;CASPOR;CIDJ_a;12:42:00;13:13:20;9.007;00:31:20;00:00:00;00:00:00
02-janv;T3;;6077;REG;T3;1;DIR1;CASPOR;HANT_a;12:54:00;13:38:54;13.470;00:44:54;00:00:00;00:00:00
06-janv;T3;;6124;REG;T3;1;DIR1;CASPOR;CIDJ_a;13:06:00;13:37:20;9.007;00:31:20;00:00:00;00:00:00
07-janv;T3;;6078;REG;T3;1;DIR1;CASPOR;HANT_a;13:18:00;14:02:54;13.470;00:44:54;00:00:00;00:00:00
12-janv;T3;;6125;REG;T3;1;DIR1;CASPOR;CIDJ_a;13:30:00;14:01:20;9.007;00:31:20;00:00:00;00:00:00
08-janv;T3;;6079;REG;T3;1;DIR1;CASPOR;HANT_a;13:42:00;14:26:54;13.470;00:44:54;00:00:00;00:00:00
04-janv;T3;;6126;REG;T3;1;DIR1;CASPOR;CIDJ_a;13:54:00;14:25:20;9.007;00:31:20;00:00:00;00:00:00
03-janv;T3;;6080;REG;T3;1;DIR1;CASPOR;HANT_a;14:06:00;14:50:54;13.470;00:44:54;00:00:00;00:00:00
11-janv;T3;;6127;REG;T3;1;DIR1;CASPOR;CIDJ_a;14:18:00;14:49:20;9.007;00:31:20;00:00:00;00:00:00
